title,company_name,company_field,category_major,category_minor,employment_type,seniority,location,number_of_hire,experience,salary_range,skills,job_description,requirements,job_url,company_size,company_address,company_about,company_url
【Pilot.Z 新世代人才養成計畫】 硬體電子工程師,LITEON_光寶科技股份有限公司,Consumer Electronics,Engineering,Electronics Engineer,Full-time,Entry level,"Zhonghe District, New Taipei City, Taiwan",5,No requirement for relevant working experience,"80,000 ~ 85,000 TWD / month",['2024 ESG'],"Pilot.Z 新世代人才培育計畫3個月帶薪學習 × 五大職場技能 × 挑戰體能極限3個月內掌握 ABCDE 五大職場必備技能，與各部門同事一起培訓。戶外挑戰活動：如 路跑、登山、野外求生，為永續發展身體力行！更有3年回訓培育機制，持續強化專業與發展潛能，與光寶一起向前！部門介紹光寶科技-光電事業部(OPS)為全球領先的光電半導體供應商，為台灣光電產業龍頭，全球排名NO.6。我們提供高利潤LED應用於AI 筆電、智能家居、智能音箱與穿戴產品，並具客製化微型化燈效方案、車用照明等產品，為台灣LED科技應用先鋒。
工作內容1. LEDs, Laser 和光電Sensor相關模組產品系統整合與驗證2. 光電模組應用電路設計, PCB layout與MCU控制系統撰寫3. 光電模組產品分析與解決電路及系統問題4. LEDs, Laser 和光電Sensor產品Demo kit & EVM 設計製作5. 參與跨部門專案，與其他部門協作完成產品開發與改進6. 撰寫技術報告，確保所有設計和測試過程有所依據。專利申請和技術發表。","<Hard Skill>1. 電子工程、電機工程、光電工程、控制相關專業本科學歷2. 熟悉電子電路設計，與電路模擬(如 PSPICE)3. 熟悉相關電路設計軟體（如 Cadence, OrCAD, PADS…等）4. 具備MCU控制及相關程式語言（如C/C++、Python等）5. 熟悉多種LED/光電Sensor技術及其相關應用開發者優<Soft Skill>1.具備英文書信和溝通能力者2.協作、溝通和解決問題的能力3.良好的演講技巧和擴展人脈的意願4.韌性和創造力5.願意配合外出差",https://www.cake.me/companies/liteon/jobs/aa1b10?locale=en,5001 -  people,臺北市內湖區瑞光路392號,"光寶科技（LITEON Technology）成立於 1975 年，不僅是台灣首家上市的電子公司，也是台灣 LED 產業的先驅。近半世紀以來，我們憑藉卓越的光電半導體與電源管理技術，立基全球市場。近年來，我們以「能源」為主要策略，以光、電、智慧、互聯為核心科技，專注於四大領域解決方案並致力於打造 IoE（Internet of Energy）：	•	Green Data Centers 綠色資料中心	•	Clean Mobility 潔能運輸	•	Efficient Infrastructure 高效能基礎設施	•	Smart Life 智能生活┃企業永續觀點與承諾光寶秉持「光電節能、環境永續」的經營願景，堅信永續發展是企業不可推卸的責任。我們不僅追求營收與獲利成長，更積極推動企業永續，承擔社會與環境責任。面對全球環境與氣候變遷的挑戰，光寶早在二十年前便開始對接國際規範與倡議，推動永續治理。在產品開發上，我們將低碳設計作為核心，設定目標—所有下一代產品碳排放降低 5%。同時，我們攜手供應鏈夥伴，以實際行動推動產業與社會的可持續發展，發揮關鍵影響力。┃以人為本的策略藍圖人，是光寶最重視的核心價值。我們珍視每位員工、夥伴與客戶，相信能透過科技釋放無限可能，為全球環境與人類生活帶來正向改變。同時，我們致力於打造多元共融的工作環境，提供健全的福利制度、透明的溝通管道、豐富的內部資源與個人成長機會，鼓勵夥伴發揮所長、突破框架，以「當責」的態度實現個人與企業願景。光寶科技不僅是一家企業，更是一個大家庭。我們在全球設有多達334個據點，緊密連結亞洲、美洲、歐洲等地的30,000位團隊成員。無論身處何處，只要是光寶人，都是您的家人！⚝光寶科技誠摯邀請您加入我們的大家庭！讓我們一同攜手向光前行！⚝",https://www.cake.me/companies/liteon
【Pilot.Z 新世代人才養成計畫】 光電半導體工程師,LITEON_光寶科技股份有限公司,Consumer Electronics,Engineering,Hardware Engineer,Full-time,Entry level,"Zhonghe District, New Taipei City, Taiwan",1,No requirement for relevant working experience,"80,000 ~ 85,000 TWD / month",['2024 ESG'],"Pilot.Z 新世代人才培育計畫3個月帶薪學習 × 五大職場技能 × 挑戰體能極限3個月內掌握 ABCDE 五大職場必備技能，與各部門同事一起培訓。戶外挑戰活動：如 路跑、登山、野外求生，為永續發展身體力行！更有3年回訓培育機制，持續強化專業與發展潛能，與光寶一起向前！部門介紹光寶科技-光電事業部(OPS)為全球領先的光電半導體供應商，為台灣光電產業龍頭，全球排名NO.6。我們提供高利潤LED應用於AI 筆電、智能家居、智能音箱與穿戴產品，並具客製化微型化燈效方案、車用照明等產品，為台灣LED科技應用先鋒。
工作內容1. LEDs, Laser 和光電Sensor相關半導體元件及模組技術開發2. 整合光機電熱, 材料及製程等技術開發元件及模組產品3. 解決光電半導體元件及模組開發階段的技術問題4. 參與跨部門專案，與其他部門協作完成產品開發與改進5. 撰寫技術報告，確保所有設計和測試過程有所依據。專利申請和技術發表。",<Hard Skill>1.光電半導體元件及模組技術開發。2.透過光學、機構設計、電子、熱學、材料、製程等技術整合。3.結合專利分析與發明申請，建立優於業界的光電半導體應用技術。<Soft Skill>1.具備英文書信和溝通能力者2.協作、溝通和解決問題的能力3.良好的演講技巧和擴展人脈的意願4.韌性和創造力5.願意配合外出差,https://www.cake.me/companies/liteon/jobs/78b78a?locale=en,5001 -  people,臺北市內湖區瑞光路392號,"光寶科技（LITEON Technology）成立於 1975 年，不僅是台灣首家上市的電子公司，也是台灣 LED 產業的先驅。近半世紀以來，我們憑藉卓越的光電半導體與電源管理技術，立基全球市場。近年來，我們以「能源」為主要策略，以光、電、智慧、互聯為核心科技，專注於四大領域解決方案並致力於打造 IoE（Internet of Energy）：	•	Green Data Centers 綠色資料中心	•	Clean Mobility 潔能運輸	•	Efficient Infrastructure 高效能基礎設施	•	Smart Life 智能生活┃企業永續觀點與承諾光寶秉持「光電節能、環境永續」的經營願景，堅信永續發展是企業不可推卸的責任。我們不僅追求營收與獲利成長，更積極推動企業永續，承擔社會與環境責任。面對全球環境與氣候變遷的挑戰，光寶早在二十年前便開始對接國際規範與倡議，推動永續治理。在產品開發上，我們將低碳設計作為核心，設定目標—所有下一代產品碳排放降低 5%。同時，我們攜手供應鏈夥伴，以實際行動推動產業與社會的可持續發展，發揮關鍵影響力。┃以人為本的策略藍圖人，是光寶最重視的核心價值。我們珍視每位員工、夥伴與客戶，相信能透過科技釋放無限可能，為全球環境與人類生活帶來正向改變。同時，我們致力於打造多元共融的工作環境，提供健全的福利制度、透明的溝通管道、豐富的內部資源與個人成長機會，鼓勵夥伴發揮所長、突破框架，以「當責」的態度實現個人與企業願景。光寶科技不僅是一家企業，更是一個大家庭。我們在全球設有多達334個據點，緊密連結亞洲、美洲、歐洲等地的30,000位團隊成員。無論身處何處，只要是光寶人，都是您的家人！⚝光寶科技誠摯邀請您加入我們的大家庭！讓我們一同攜手向光前行！⚝",https://www.cake.me/companies/liteon
Digital Marketing Specialist,BioPro Scientific Co. Ltd.,Medical Devices,Marketing / Advertising,Content Marketer,Full-time,Entry level,"Hsinchu City, Taiwan",1,1 years of experience required,"500,000 ~ 700,000 TWD / year",[],"About BPSBioPro Scientific is a leading medical device company specializing in the full development cycle of high-end Neuroscience / Brain Computer Interface (BCI) devices, from chip design to end product manufacturing and firmware/software engineering. We are dedicated to creating innovative products that support cutting-edge technology in neuroscience. Our commitment to excellence has established us as a trusted name in this field.Role DescriptionThis is a full-time hybrid role for a “Digital Marketing Specialist” based in Hsinchu City, with some work from home permitted. The Digital Marketing Specialist will be responsible for managing social media campaigns, developing and implementing online marketing strategies, analyzing web traffic, and ensuring effective communication across digital channels. The role also involves monitoring the performance of digital marketing efforts and optimizing them for better results.Benefits
Hybrid Office Model: Work From Home 2 days a week.Snack Cabinet and Daily Fresh Fruits.Competitive 14-month salary package.","Proficiency in Social Media Marketing and Online MarketingExperience with Digital Marketing and Web AnalyticsStrong Communication skillsAbility to analyze data and generate insightsBachelor's degree in Marketing, Communications, or a related fieldAbility to work both independently and collaboratively in a hybrid setting
Nice to Have
Experience in the medical device or healthcare industry is a plusExperience in video editing and graphic design is preferredExperience in branding and public relations is also advantageous.",https://www.cake.me/companies/biopro-scientific-co-ltd/jobs/digital-marketing-specialist-2de00f?locale=en,11 - 50 people,"Unit 715, Center of Innovative Incubator, No.101, Sec.2, Kuangfu Rd., East Dist., Hsinchu City 30013, Taiwan","“At BioPro Scientific,We Aim for Universal Brain Health.”

With expertise in neuroscience and the development of brain-computer interface (BCI) devices, our team has owned the core technologies, including proprietary wireless microchips for neuromodulation, algorithms for detecting brain activities, shallow brain stimulation strategies, and a smart AIoT (AI and internet-of-things) system. We are on a mission to bring our success in building a perfect method to change the diagnosis and treatment of neurological disorders and beyond.
“Join the BPS Family to Pave the Way for a Healthier Future.”

Innovation and a passion for making a difference in the world drive everything we do. We are a team of dedicated individuals committed to advancing scientific discoveries that have a positive impact on society.Together, let's push the boundaries of science while fostering a culture of respect, balance, sustainability, and growth. Join BioPro Scientific and be a catalyst for transformative scientific breakthroughs that shape a brighter future.",https://www.cake.me/companies/biopro-scientific-co-ltd
【整合行銷部】特約企劃(兼職),巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Media / Communication,Strategic Planning,Part-time,Entry level,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,"28,590 ~ 45,000 TWD / month",[],"【特約企劃工作任務】1.專案企劃｜政府專案執行、創意議題發想、標案企劃撰寫及提案簡報、廣宣操作及動員規劃。2.可獨立專案管理及執行｜專案執行及計畫之進行與控管。（含提案創意發想、規劃、溝通、執行及結案作業）3.品牌企劃｜協助公司品牌活動與展會行銷推廣業務及數位行銷操作協力企劃。【特約企劃工作形式】1.此職缺為兼職性質，合約期間依專案而定。(期間表現優異，有機會被邀請成為巨思文化的全職夥伴喔)2.報酬範圍約為每月NT$27,000元至NT$45,000元，依專案規模、內容及合作模式議定。想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475",,https://www.cake.me/companies/bnext-f5f335/jobs/f9ae14?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
【整合行銷部】活動現場支援工讀生,巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Management / Business,Administrative Assistant,Part-time,Entry level,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,190+ TWD / hour,[],1. 活動現場各項工作協助，包含協助報到台來賓報到事宜、協助場內/外來賓入座引導、協助桌椅排列及各項物資就定位、對談桌椅及物資準備⋯⋯等活動現場機動性支援。2. 任用條件：活潑主動，機動性高，不怕生、彈性應變能力高及願意與來賓互動。想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475,,https://www.cake.me/companies/bnext-f5f335/jobs/3ef3c4?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
【歡迎具原住民身份投遞 】計時工讀生,巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Management / Business,Administrative Assistant,Part-time,Entry level,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,190+ TWD / hour,[],1.活動支援。2.資料蒐集及整理。3.協助處理庶務性工作及主管交辦事項。想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475,,https://www.cake.me/companies/bnext-f5f335/jobs/188d2c?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
【整合行銷部】計時電訪工讀生,巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Management / Business,Administrative Assistant,Part-time,Entry level,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,190+ TWD / hour,[],1.協助撥打專案活動通知電話。2.依照專案需求，整理、統計出席名單。想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475,,https://www.cake.me/companies/bnext-f5f335/jobs/e31db8?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
【數位時代】採訪編輯,巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Media / Communication,Reporter,Full-time,Entry level,"Daan District, Taipei City, Taiwan",1,1 years of experience required,"30,000 ~ 40,000 TWD / month",[],《數位時代》成立邁入25年，由詹宏志、何飛鵬和陳素蘭等共同創立，是台灣最專業權威關注科技財經議題的媒體集團，有每月發行關注科技前瞻趨勢的雜誌月刊，與時時緊追全球科技財經大勢的新聞網站平台，編輯團隊志於提供優質、深度的全方位新聞報導，現在正徵求科技產業新聞記者。【工作任務】1. 即時新聞事件採訪處理，轉換為有條理的深度新聞內容。2. 企劃專題，並與編輯團隊一起完成採訪與編輯作業。===想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475,【只要你】1. 熱愛科技產業訊息/商業模式/科技趨勢，天天主動想閱讀新知，具財經知識者尤佳。2. 喜愛與專家名人對談，從中學習，理解讀者需要，找到有價值的訊息提供給讀者。3. 喜愛並熟悉文字寫作，完稿快又好，對編輯工作感興趣，對學習新事物具備熱忱。歡迎將履歷投遞過來！,https://www.cake.me/companies/bnext-f5f335/jobs/digital-times-interview-editor?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
【整合行銷部】 專案企劃,巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Media / Communication,Strategic Planning,Full-time,Entry level,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,"30,000 ~ 45,000 TWD / month",[],巨思文化（數位時代、經理人、Shopping Design 等）強力招募喜愛活動企劃、專案企劃人才！協助客戶包括企業及公部門，透過旗下多元媒體資源進行科技、商管專案規劃、執行，以及籌辦巨思旗下展會活動如未來商務展等。我們在尋找聰明、積極、熱愛出版媒體業的夥伴加入巨思家族！任務包含：1.整合行銷專案規畫執行、議題企劃、提案簡報、廣宣操作及動員規劃，客戶產業包括企業及公部門。2.確認客戶需求、確實掌握專案進度，並與內外部合作單位溝通協調，達成專案目標。3.專案管理：針對每一項企劃專案的發想、規劃、溝通、執行及結案作業等時程及工作品質管理。4.社內展會活動、品牌活動及客製活動的執行協力。5.該職務除月薪外，企劃執行獎金另依部門相關制度發放。想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475,*技能專長：1.膽大心細、創意佳，了解整合行銷專案工作環節流程，善於運用各式行銷工具。2.對科技議題、商業生態及管理議題深具熱情，喜愛挑戰各式議題規劃。3.具版面視覺美感企劃及評估能力。*人格特質：1.主動、積極、兼具獨立作業及樂於與團隊合作特質。2.對於新知充滿好奇、有想法且不怕挑戰、活潑有創意。3.穩定性高、負責任、抗壓性強。,https://www.cake.me/companies/bnext-f5f335/jobs/integrated-marketing-department-digital-planning?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
【整合行銷部】專案行政,巨思媒體集團（數位時代、經理人、Shopping Design）,Media,Management / Business,Administrative Assistant,Full-time,Entry level,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,"30,000 ~ 40,000 TWD / month",[],若你對實體活動、品牌展會企劃、執行有興趣，卻苦無機會，建議可以先從專案行政開始它不同一般靜態行政工作，而是動態需要與企劃、業務、策展團隊協力，共同完成實體活動、展會目標。1. 協助完成實體活動專案行政事務，包含場地預訂、場地勘查、外部協力夥伴溝通與控管、專案所需物資採購與準備、活動現場人力安排與調配、臨時人力規劃與管理、成本控管與登記、網路廣宣上稿及結案數據蒐集、專案活動相關物資、贈刊寄送、跨部門資源溝通協調、結案作業協助及主管交辦事項等各項專案行政事務等。2. 協助完成品牌展會展務工作，包含與大會策展團隊協力各項展務事項，展會場地營運人員及外部合作廠商溝通協助、跨部門人力溝通協調、展會物資、人力盤點及相關物資準備與寄送、展會進撤場規劃與統籌等。3. 此職務另有專案獎金。工作無需天天進辦，可混合辦公、部分遠距工作！直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475,1. 具論壇、展會活動專案行政經驗尤佳2. 人格特質：- 細心且耐煩- 個性樂觀積極- 具服務熱忱、樂於助人並樂於解決問題- 喜歡團隊合作勝於獨自工作- 願意主動優化工作方法及工作流程，並提出建議並想辦法改變,https://www.cake.me/companies/bnext-f5f335/jobs/84f4fc?locale=en,51 - 200 people,光復南路102號9樓,"巨思媒體集團旗下有：《數位時代》、《經理人月刊》 、《Shopping Design》設計採買誌等多元媒體與知識社群，致力於新商業的發掘與促成。 
創立於1999年，由一群關心台灣網路科技與新商業發展的資深媒體人；包含詹宏志、何飛鵬和陳素蘭等共同創立。 
巨思預見科技與網路，將徹底改寫商業模式、組織、工作甚至生活，身為專業的媒體工作者，巨思投身於新商業的發掘與促成，持續以豐沛的知識能量和讀者、社群一起探索數位新時代。 如果你和我們一樣，渴望理解和發掘更多新議題、新趨勢，歡迎你現在就加入我們的行列！

想看看巨思文化辦公環境和工作真心話嗎？直擊｜開箱巨思文化新辦公室！夥伴：混合辦公交流自由，彈性高效率高https://www.managertoday.com.tw/articles/view/66475
直擊巨思文化團隊工作｜讀者想要的不一樣了！巨思文化「用戶成長中心」揭密：３策略引領經理人成長https://www.managertoday.com.tw/articles/view/66603
區塊鏈新聞如何好懂、有深度？開箱數位時代新頻道《Web3+》背後團隊！https://web3plus.bnext.com.tw/article/599
巨思文化工作真心話｜從實習轉正職的 3 大好處，讓你求職路上不緊張https://meet.bnext.com.tw/blog/view/21
媒體裡的企劃都在做什麼？想進媒體做企劃，要具備哪些能力？
https://meet.bnext.com.tw/blog/view/4134不只是傳播科系的選擇，業務、數據分析、工程師在媒體業有更多挑戰與樂趣！https://meet.bnext.com.tw/blog/view/14293",https://www.cake.me/companies/bnext-f5f335
